Title,description,Image link,Link,ID,Condition,price,Availability
Butterbit Solo Sticker,"<p>Meet Butterbit. He's the youngest Sugarbit of the group, and loves to hang out with&nbsp;JB's and Mokabit.&nbsp;&nbsp;</p><p>&nbsp;</p><p><em>Material&nbsp; - High Quality Glossy Sticker Paper. </em></p><p><em>Size - Approximately 2.25 inches</em></p><p><em>Exclusively designed by Sugarbits.&nbsp;</em></p><p>&nbsp;</p><p><em>Perfect for upping the cute factor on your&nbsp;laptop, planner or anywhere that makes you feel happy!&nbsp;</em></p><p>&nbsp;</p><p>❤️ <strong>Kindly note: These stickers are not waterproof.</strong></p><p><br>❤️ ❤️ © Copyright of Sugarbits. For personal use ONLY — no part of any content, description or likeness may be reproduced or sold in any form. PLEASE DO NOT sell or distribute in any way. This is for your personal use only.</p><p>&nbsp;</p><p>2020&nbsp;© Sugarbits</p><p>&nbsp;</p><p><u><strong><em>This design is NOT Waterproof!</em></strong></u></p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p>",79430e_42445fdf0c1b405c8b991cfe335f38d7~mv2.jpg,https://www.sugarbits.ca/product-page/butterbit-solo-sticker,JB030,new,3.0,InStock
Mokabit Solo Sticker,"<p>Meet Mokabit. He's one of JB's best (and sweetest) friends!&nbsp;</p><p>&nbsp;</p><p><em>Material&nbsp; - High Quality Glossy Sticker Paper. </em></p><p><em>Size - Approximately 2.25 inches</em></p><p><em>Exclusively designed by Sugarbits.&nbsp;</em></p><p>&nbsp;</p><p><em>Perfect for upping the cute factor on your&nbsp;laptop, planner or anywhere that makes you feel happy!&nbsp;</em></p><p>&nbsp;</p><p>❤️ <strong>Kindly note: These stickers are not waterproof.</strong></p><p><br>❤️ ❤️ © Copyright of Sugarbits. For personal use ONLY — no part of any content, description or likeness may be reproduced or sold in any form. PLEASE DO NOT sell or distribute in any way. This is for your personal use only.</p><p>&nbsp;</p><p>2020&nbsp;© Sugarbits</p><p>&nbsp;</p><p><u><strong><em>This design is NOT Waterproof!</em></strong></u></p><p>2020&nbsp;© Sugarbits</p><p>&nbsp;</p><p>&nbsp;</p>",79430e_e5f17bd88ebc43838780fb7021752855~mv2.jpg,https://www.sugarbits.ca/product-page/mokabit-solo-sticker,JB029,new,3.0,InStock
Jellibit Solo Sticker,"<p>Meet our Jellibit. He kinda runs the show around here!</p><p>&nbsp;</p><p><em>Material&nbsp; - High Quality Glossy Sticker Paper. </em></p><p><em>Size - Approximately 2.25 inches</em></p><p><em>Exclusively designed by Sugarbits.&nbsp;</em></p><p>&nbsp;</p><p><em>Perfect for upping the cute factor on your&nbsp;laptop, planner or anywhere that makes you feel happy!&nbsp;</em></p><p>&nbsp;</p><p>❤️ <strong>Kindly note: These stickers are not waterproof.</strong></p><p><br>❤️ ❤️ © Copyright of Sugarbits. For personal use ONLY — no part of any content, description or likeness may be reproduced or sold in any form. PLEASE DO NOT sell or distribute in any way. This is for your personal use only.</p><p>&nbsp;</p><p>2020&nbsp;© Sugarbits</p><p>&nbsp;</p><p><u><strong><em>This design is NOT Waterproof!</em></strong></u></p><p>2020&nbsp;© Sugarbits</p><p>&nbsp;</p><p><u><strong><em>This design is NOT Waterproof!</em></strong></u></p>",79430e_c0e8b663d7f244bd9abad06a9c22e84c~mv2.png;79430e_1c7e4cec89294e65a4dcff273a40d9c7~mv2.jpg;79430e_67562204197a412f980993249c170cbf,https://www.sugarbits.ca/product-page/jellibit-solo-sticker,JB001,new,3.0,InStock
Jellibit Loves Valentines,"<p>❤️ Jellibit loves Valentines and lots of Candy Hearts!&nbsp; - He can't wait to share them with you!</p><p>&nbsp;</p><p>An Original design, illustrated and handmade with love by Lolo of Sugarbits</p><p><br>THE SCOOP on WHAT YOU GET:</p><p>&nbsp;</p><p>❤️ Jellibits Loves Valentines sticker pack with a Glossy Finish. Perfect addition to your laptop, favourite notebook or anything that makes you feel warm and cozy inside.</p><p><br><strong>MATERIALS AND SIZING</strong></p><p>Our thoughtfully handmade fun pack of stickers are printed on one (1) 4.5&nbsp;x 4.5&nbsp;inch Sticker Sheet, and cut by our in-house sugarbits with love &amp; care.</p><p>&nbsp;</p><p>❤️ <strong>Kindly note: These stickers are not waterproof.</strong></p><p><br>❤️ ❤️ © Copyright of Sugarbits. For personal use ONLY — no part of any content, description or likeness may be reproduced or sold in any form. PLEASE DO NOT sell or distribute in any way.</p><p>&nbsp;</p><p>This is for your personal use only.</p>",79430e_45f7f752f9894393b44d6d59884d5669~mv2.png;79430e_386e0bc5fc0a467fa8cbe6a9c13a1f2c~mv2.jpg;79430e_d857f79d940142399046b13848c9bd20~mv2.jpg;79430e_89865848f004481597b933795786ee5a~mv2.jpg;79430e_0b583ad16bb146ba9b62784f5c96dfe4~mv2.jpg,https://www.sugarbits.ca/product-page/jellibit-loves-valentines,JB014,new,6.5,InStock
Jellibits & Rainbows | Sticker Sheet,"<p>❤️ Somewhere over the rainbow is a cute little Jellibit - who can't wait to brighten your day!&nbsp;🌈</p><p>&nbsp;</p><p>An Original design, illustrated and handmade with love by Lolo of Sugarbits</p><p><br>THE SCOOP on WHAT YOU GET:</p><p>&nbsp;</p><p>❤️ Jellibits &amp; Rainbows sticker pack with a Glossy Finish. Perfect addition to your laptop, favourite notebook or anything that makes you feel warm and cozy inside.</p><p><br><strong>MATERIALS AND SIZING</strong></p><p>Our thoughtfully handmade fun pack of stickers are printed on one (1) 4.5&nbsp;x 4.5&nbsp;inch Sticker Sheet, and cut by our in-house sugarbits with love &amp; care.</p><p>&nbsp;</p><p>❤️ <strong>Kindly note: These stickers are not waterproof.</strong></p><p><br>❤️ ❤️ © Copyright of Sugarbits. For personal use ONLY — no part of any content, description or likeness may be reproduced or sold in any form. PLEASE DO NOT sell or distribute in any way.</p><p>&nbsp;</p><p>This is for your personal use only.</p>",79430e_63930e36e6c54018bc1a848d9de5e074~mv2.png;79430e_dac173c353fc411fb404d6f4d495d2ee~mv2.jpg;79430e_b3c8f73b5949437ead92c0969f399bee~mv2.jpg;79430e_0ce8f36e7ac540e7b4c1a766147a8a58~mv2.jpg,https://www.sugarbits.ca/product-page/jellibits-rainbows-sticker-sheet,JB013,new,6.5,InStock
Jellibits Snow Day | Sticker Sheet,"<p>❤️ It's Jellibits first snow day - He can't wait to make some snowballs and have fun playing in the snow. He might even try to build a snowman =)</p><p>&nbsp;</p><p>An Original design, illustrated and handmade with love by Lolo of Sugarbits</p><p><br>THE SCOOP on WHAT YOU GET:</p><p>&nbsp;</p><p>❤️ Jellibits' Snow Day sticker pack with a Glossy Finish. Perfect addition to your laptop, favourite notebook or anything that makes you feel warm and cozy inside.</p><p><br><strong>MATERIALS AND SIZING</strong></p><p>Our thoughtfully handmade fun pack of stickers are printed on one (1) 4.5&nbsp;x 4.5&nbsp;inch Sticker Sheet, and cut by our in-house sugarbits with love &amp; care.</p><p>&nbsp;</p><p>❤️ <strong>Kindly note: These stickers are not waterproof.</strong></p><p><br>❤️ ❤️ © Copyright of Sugarbits. For personal use ONLY — no part of any content, description or likeness may be reproduced or sold in any form. PLEASE DO NOT sell or distribute in any way.</p><p>&nbsp;</p><p>This is for your personal use only.</p>",79430e_0f9f64a65e2e46488f18888519d105c2~mv2.png,https://www.sugarbits.ca/product-page/jellibits-snow-day-sticker-sheet,JB006,new,6.5,InStock
The OG Jellibit | Sticker Sheet,"<p>❤️ Meet our OG Jellibit- He Kinda runs the show around&nbsp;here!</p><p>&nbsp;</p><p>An Original design, illustrated and handmade with love by Lolo of Sugarbits</p><p><br>THE SCOOP on WHAT YOU GET:</p><p>&nbsp;</p><p>❤️ A cute sticker pack with a Glossy Finish. Perfect addition to your laptop, favourite notebook or anything that makes you feel warm and cozy inside.</p><p><br><strong>MATERIALS AND SIZING</strong></p><p>Our thoughtfully handmade fun pack of stickers are printed on one (1) 4.5&nbsp;x 4.5&nbsp;inch Sticker Sheet, and cut by our in-house sugarbits with love &amp; care.</p><p>&nbsp;</p><p>❤️ <strong>Kindly note: These stickers are not waterproof.</strong></p><p><br>❤️ ❤️ © Copyright of Sugarbits. For personal use ONLY — no part of any content, description or likeness may be reproduced or sold in any form. PLEASE DO NOT sell or distribute in any way.</p><p>&nbsp;</p><p>This is for your personal use only.</p>",79430e_dd28e2cec97242fba4f0822ad117f0a2~mv2.png;79430e_4b34873ebecd4ebbad1d4091cbf313b1~mv2.jpg;79430e_40162a3c4c89456084e6e1748b04204f~mv2.jpg;79430e_11bba293519d4a5988a631f979edc39e,https://www.sugarbits.ca/product-page/the-og-jellibit,JB004,new,6.5,InStock
Jellibit & The Bright Rainbow | Solo Sticker,"<p>❤️ Somewhere over the rainbow is a cute little Jellibit - who can't wait to brighten your day!&nbsp;🌈</p><p>&nbsp;</p><p><em>Perfect for upping the cute factor on your&nbsp;laptop, planner or anywhere that makes you feel happy!&nbsp;</em></p><p>&nbsp;</p><p>Material &nbsp;- High Quality Glossy Sticker Paper.</p><p>Size - Approximately 2 inches</p><p>Exclusively designed by Sugarbits.&nbsp;</p><p>&nbsp;</p><p>❤️ <strong>Kindly note: These stickers are not waterproof.</strong></p><p><br>❤️ ❤️ © Copyright of Sugarbits. For personal use ONLY — no part of any content, description or likeness may be reproduced or sold in any form. PLEASE DO NOT sell or distribute in any way.</p><p>This is for your personal use only.</p><p>&nbsp;</p><p>2020&nbsp;© Sugarbits</p><p>&nbsp;</p><p><u><strong><em>This design is NOT Waterproof!</em></strong></u></p><p>&nbsp;</p>",79430e_ad65b59e48594a1694e4ed442995caec~mv2.png;79430e_2ca383a327444bb08c6802351297b922~mv2.jpg;79430e_16a70592ea6349269df1b9448dbfc3bf~mv2.jpg;79430e_c1b116a72aa04800a8cdfe1863adca89~mv2.jpg;79430e_1cfb774d9a76425bbb702b74d2f2265d~mv2.jpg,https://www.sugarbits.ca/product-page/jellibit-the-bright-rainbow,JB012,new,3.0,InStock
Jellibit & The Boho Rainbow | Solo Sticker,"<p>❤️ Somewhere over the rainbow is a cute little Jellibit - who can't wait to brighten your day!&nbsp;🌈</p><p>&nbsp;</p><p><em>Perfect for upping the cute factor on your&nbsp;laptop, planner or anywhere that makes you feel happy!&nbsp;</em></p><p>&nbsp;</p><p>Material &nbsp;- High Quality Glossy Sticker Paper.</p><p>Size - Approximately 2 inches</p><p>Exclusively designed by Sugarbits.&nbsp;</p><p>&nbsp;</p><p>❤️ <strong>Kindly note: These stickers are not waterproof.</strong></p><p><br>❤️ ❤️ © Copyright of Sugarbits. For personal use ONLY — no part of any content, description or likeness may be reproduced or sold in any form. PLEASE DO NOT sell or distribute in any way.</p><p>This is for your personal use only.</p><p>&nbsp;</p><p>2020&nbsp;© Sugarbits</p><p>&nbsp;</p><p><u><strong><em>This design is NOT Waterproof!</em></strong></u></p><p>&nbsp;</p>",79430e_2fcac290c2d74e6cacb4c3b0ebc2c6c0~mv2.png;79430e_a336aedd266a4068b223f4f1755f5be9~mv2.jpg;79430e_40a1fc81a8d844d2a712650430a6be38~mv2.jpg;79430e_999b7f7e8cdc48368a85f9e718518140~mv2.jpg,https://www.sugarbits.ca/product-page/jellibit-the-boho-rainbow,JB011,new,3.0,InStock
Jelliman | Solo Sticker,"<p>Jelliman is all rolled up for winter. But it looks like all the kiddies want to have a snowball fight - and he's stuck in the snow. Will anyone help him to get away in time?</p><p>&nbsp;</p><p><em>Perfect for upping the cute factor on your&nbsp;laptop, planner or anywhere that makes you feel happy!&nbsp;</em></p><p>&nbsp;</p><p>Material &nbsp;- High Quality Glossy Sticker Paper.</p><p>Size - Approximately 2 x 1.5 inches</p><p>Exclusively designed by Sugarbits.&nbsp;</p><p>&nbsp;</p><p>❤️ <strong>Kindly note: These stickers are not waterproof.</strong></p><p><br>❤️ ❤️ © Copyright of Sugarbits. For personal use ONLY — no part of any content, description or likeness may be reproduced or sold in any form. PLEASE DO NOT sell or distribute in any way.</p><p>This is for your personal use only.</p><p>&nbsp;</p><p>2020&nbsp;© Sugarbits</p><p>&nbsp;</p><p><u><strong><em>This design is NOT Waterproof!</em></strong></u></p><p>&nbsp;</p>",79430e_54b85d08fb34423eaa0997b0f9ae36c5~mv2.png,https://www.sugarbits.ca/product-page/jelliman,JB008,new,2.0,InStock
